rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
182,frame_0213.jpg,85.2,0.327,0.31,0.2,0.56,12,2,False,False
183,frame_0296.jpg,118.4,0.327,0.514,0.1,0.2,10,1,False,False
184,frame_0292.jpg,116.8,0.3259,0.5759,0.1,0.04,11,1,False,False
185,frame_0032.jpg,12.8,0.324,0.496,0.2,0.08,16,2,False,False
186,frame_0309.jpg,123.6,0.3233,0.4346,0.3,0.08,20,3,False,False
187,frame_0173.jpg,69.2,0.3221,0.3802,0.2,0.36,11,2,False,False
188,frame_0376.jpg,150.4,0.3189,0.5458,0.1,0.08,10,1,False,False
189,frame_0186.jpg,74.4,0.3165,0.3769,0.4,0.04,13,4,False,False
190,frame_0317.jpg,126.8,0.3145,0.5371,0.1,0.08,11,1,False,False
191,frame_0225.jpg,90.0,0.3144,0.4767,0.2,0.08,17,2,False,False
192,frame_0093.jpg,37.2,0.3126,0.4092,0.2,0.24,13,2,False,False
193,frame_0026.jpg,10.4,0.3105,0.4369,0.2,0.16,10,2,False,False
194,frame_0007.jpg,2.8,0.3053,0.4586,0.2,0.08,9,2,False,False
195,frame_0189.jpg,75.6,0.3007,0.5094,0.1,0.08,13,1,False,False
196,frame_0113.jpg,45.2,0.2997,0.4433,0.1,0.24,13,1,False,False
197,frame_0073.jpg,29.2,0.2995,0.3711,0.3,0.12,12,3,False,False
198,frame_0332.jpg,132.8,0.2981,0.4601,0.2,0.04,13,2,False,False
199,frame_0172.jpg,68.8,0.2969,0.4337,0.0,0.4,12,0,False,False
200,frame_0283.jpg,113.2,0.2949,0.3418,0.2,0.32,11,2,False,False
201,frame_0216.jpg,86.4,0.2939,0.2918,0.2,0.44,10,2,False,False
202,frame_0196.jpg,78.4,0.2936,0.3233,0.2,0.36,9,2,False,False
203,frame_0222.jpg,88.8,0.2919,0.3838,0.2,0.2,17,2,False,False
204,frame_0190.jpg,76.0,0.2893,0.4706,0.1,0.12,10,1,False,False
205,frame_0069.jpg,27.6,0.288,0.424,0.2,0.08,15,2,False,False
206,frame_0285.jpg,114.0,0.2877,0.3594,0.2,0.24,8,2,False,False
207,frame_0086.jpg,34.4,0.2864,0.2928,0.2,0.4,11,2,False,False
208,frame_0278.jpg,111.2,0.2862,0.4444,0.0,0.32,14,0,False,False
209,frame_0293.jpg,117.2,0.2839,0.4158,0.2,0.08,12,2,False,False
210,frame_0078.jpg,31.2,0.2784,0.4048,0.2,0.08,14,2,False,False
211,frame_0025.jpg,10.0,0.2741,0.3482,0.2,0.2,11,2,False,False
212,frame_0399.jpg,159.6,0.2683,0.3646,0.1,0.28,17,1,False,False
213,frame_0180.jpg,72.0,0.268,0.444,0.1,0.08,17,1,False,False
214,frame_0077.jpg,30.8,0.2636,0.4512,0.1,0.04,12,1,False,False
215,frame_0370.jpg,148.0,0.2623,0.3886,0.2,0.04,17,2,False,False
216,frame_0009.jpg,3.6,0.2621,0.4003,0.1,0.16,6,1,False,False
217,frame_0191.jpg,76.4,0.2557,0.4474,0.0,0.16,12,0,False,False
218,frame_0301.jpg,120.4,0.2512,0.3464,0.1,0.24,14,1,False,False
219,frame_0398.jpg,159.2,0.2509,0.3458,0.1,0.24,14,1,False,False
220,frame_0124.jpg,49.6,0.2497,0.2955,0.1,0.36,15,1,False,False
221,frame_0091.jpg,36.4,0.249,0.37,0.0,0.32,9,0,False,False
222,frame_0092.jpg,36.8,0.2475,0.3229,0.1,0.28,15,1,False,False
223,frame_0094.jpg,37.6,0.2466,0.2931,0.2,0.2,9,2,False,False
224,frame_0197.jpg,78.8,0.2463,0.2726,0.1,0.4,6,1,False,False
225,frame_0192.jpg,76.8,0.2416,0.3431,0.1,0.2,11,1,False,False
