rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
223,frame_0208.jpg,83.2,0.3373,0.2848,0.1429,0.76,5,1,False,False
224,frame_0394.jpg,157.6,0.3323,0.5468,0.1429,0.08,5,1,False,False
225,frame_0273.jpg,109.2,0.33,0.4406,0.2857,0.12,6,2,False,False
226,frame_0198.jpg,79.2,0.3297,0.4834,0.0,0.44,2,0,False,False
227,frame_0228.jpg,91.2,0.3285,0.4696,0.2857,0.04,5,2,False,False
228,frame_0289.jpg,115.6,0.328,0.352,0.0,0.76,4,0,False,False
229,frame_0194.jpg,77.6,0.3258,0.3682,0.2857,0.28,5,2,False,False
230,frame_0399.jpg,159.6,0.324,0.3646,0.2857,0.28,6,2,False,False
231,frame_0189.jpg,75.6,0.3234,0.529,0.1429,0.08,4,1,False,False
232,frame_0098.jpg,39.2,0.321,0.4545,0.2857,0.04,7,2,False,False
233,frame_0371.jpg,148.4,0.3185,0.4336,0.2857,0.08,7,2,False,False
234,frame_0101.jpg,40.4,0.3174,0.5171,0.1429,0.08,4,1,False,False
235,frame_0220.jpg,88.0,0.316,0.5199,0.0,0.28,3,0,False,False
236,frame_0183.jpg,73.2,0.3084,0.5151,0.1429,0.04,4,1,False,False
237,frame_0381.jpg,152.4,0.3072,0.427,0.2857,0.04,5,2,False,False
238,frame_0119.jpg,47.6,0.3059,0.2484,0.2857,0.48,5,2,False,False
239,frame_0216.jpg,86.4,0.3012,0.3406,0.1429,0.44,4,1,False,False
240,frame_0267.jpg,106.8,0.3005,0.3816,0.2857,0.12,5,2,False,False
241,frame_0311.jpg,124.4,0.2986,0.4954,0.1429,0.04,4,1,False,False
242,frame_0382.jpg,152.8,0.2979,0.478,0.1429,0.08,9,1,False,False
243,frame_0325.jpg,130.0,0.2954,0.4033,0.2857,0.04,6,2,False,False
244,frame_0196.jpg,78.4,0.2895,0.435,0.0,0.36,2,0,False,False
245,frame_0092.jpg,36.8,0.2889,0.2944,0.2857,0.28,5,2,False,False
246,frame_0372.jpg,148.8,0.283,0.518,0.0,0.12,7,0,False,False
247,frame_0100.jpg,40.0,0.2725,0.3576,0.2857,0.04,5,2,False,False
248,frame_0310.jpg,124.0,0.2591,0.3148,0.2857,0.08,5,2,False,False
249,frame_0190.jpg,76.0,0.2528,0.3719,0.1429,0.12,4,1,False,False
250,frame_0112.jpg,44.8,0.2417,0.4033,0.0,0.2,4,0,False,False
251,frame_0093.jpg,37.2,0.2303,0.2789,0.1429,0.24,4,1,False,False
252,frame_0271.jpg,108.4,0.2287,0.3557,0.1429,0.04,5,1,False,False
253,frame_0218.jpg,87.2,0.2107,0.2775,0.0,0.36,3,0,False,False
254,frame_0191.jpg,76.4,0.1989,0.3338,0.0,0.16,5,0,False,False
255,frame_0224.jpg,89.6,0.1974,0.3469,0.0,0.12,6,0,False,False
256,frame_0110.jpg,44.0,0.118,0.188,0.0,0.12,4,0,False,False
